DEBUG||?SOURCE? - Debug: ?TARGET?
PROMOTION||?HOUSE? are pleased to announce ?SOURCE? has joined the ranks of High Society.
ORDER_FAILED||?SOURCE? failed to carry out ?TARGET?.
ACCUSATION||?SOURCE? has accused ?TARGET? of injustice!
ACCUSED||?SOURCE? has been accused by ?TARGET? of injustice!
REJECT_ACCUSATION||?TARGET? rejected an accusation of injustice made by ?SOURCE?!
TRIAL_COMBAT||?TARGET? sought a trial by combat with ?SOURCE? to answer the accusation of injustice!
TRIAL_SOVEREIGN||?TARGET? sought their sovereign's judgement on the matter of justice brought forward by ?SOURCE?.
TRIAL_CHURCH||?TARGET? sought a Church trial on the matter of justice brought forward by ?SOURCE?.
TRIAL_COURT||?TARGET? sought a trial of noble peers on the matter of justice brought forward by ?SOURCE?.
ARMY_FORMED||By the command of ?TARGET?, ?SOURCE? has mustered and awaits command.
UNIT_FORMED||?SOURCE? has formed a new unit called ?TARGET?.
UNIT_LOAD||?SOURCE? has loaded ?TARGET?.
UNIT_UNLOAD||?SOURCE? has unloaded ?TARGET?.
LEAD_UNIT||?SOURCE? Army unit ?TARGET?.
ATTACK_ARMY||?SOURCE? has attacked ?TARGET?!
ASSAULT_ESTATE||?SOURCE? has assaulted ?TARGET?!
BOARD_SHIP||?SOURCE? has boarded ?TARGET?!
ARMY_KILLED||?SOURCE? has been destroyed.
ARMY_MOVE||?SOURCE? has moved to ?TARGET?.
ARMY_EMBARK||?SOURCE? has embarked on ?TARGET?.
ARMY_DISEMBARK||?SOURCE? has disembarked from ?TARGET?.
INHERIT||?TARGET? has been inherited by ?SOURCE?.
BORN||?SOURCE? has been born to ?TARGET?.
BORN_BOY||?TARGET? are pleased to announce the birth of their baby boy, ?SOURCE?.
BORN_GIRL||?TARGET? are pleased to announce the birth of their baby girl, ?SOURCE?.
NOVICE_BOY||?HOUSE? are pleased to introduce ?SOURCE? upon his coming of age.
NOVICE_GIRL||?HOUSE? are pleased to present ?SOURCE? upon her coming of age.
NOVICE||?HOUSE? are pleased to announce ?SOURCE? has become of age.
ADULT||?SOURCE? is now an adult.
DIED||?HOUSE? regret the passing of ?SOURCE? ?TARGET?.
